timestamp,dataset,method,purity,status,elapsed_sec,elapsed_min,ave_acc,std_acc,runs,epochs,model,log_file,error
2026-05-18T03:46:48.521837,citeseer,closeness,0.7,success,7.6,0.13,0.7503,0.0080,20,60,GCN,logs_v2/citeseer_closeness_p0.700.log,
2026-05-18T03:46:55.844573,citeseer,closeness,0.8,success,7.3,0.12,0.7502,0.0077,20,60,GCN,logs_v2/citeseer_closeness_p0.800.log,
2026-05-18T03:47:03.667899,citeseer,closeness,0.9,success,7.8,0.13,0.7448,0.0104,20,60,GCN,logs_v2/citeseer_closeness_p0.900.log,
2026-05-18T03:47:11.190887,citeseer,closeness,0.95,success,7.5,0.13,0.7481,0.0092,20,60,GCN,logs_v2/citeseer_closeness_p0.950.log,
2026-05-18T03:47:18.313358,citeseer,closeness,0.975,success,7.1,0.12,0.7470,0.0094,20,60,GCN,logs_v2/citeseer_closeness_p0.975.log,
2026-05-18T03:47:25.836277,citeseer,closeness,1.0,success,7.5,0.13,0.7504,0.0122,20,60,GCN,logs_v2/citeseer_closeness_p1.000.log,
2026-05-18T03:47:43.621742,citeseer,betweenness,0.7,success,17.8,0.30,0.7514,0.0092,20,60,GCN,logs_v2/citeseer_betweenness_p0.700.log,
2026-05-18T03:48:00.856515,citeseer,betweenness,0.8,success,17.2,0.29,0.7446,0.0106,20,60,GCN,logs_v2/citeseer_betweenness_p0.800.log,
2026-05-18T03:48:18.091285,citeseer,betweenness,0.9,success,17.2,0.29,0.7471,0.0101,20,60,GCN,logs_v2/citeseer_betweenness_p0.900.log,
2026-05-18T03:48:35.326082,citeseer,betweenness,0.95,success,17.2,0.29,0.7463,0.0093,20,60,GCN,logs_v2/citeseer_betweenness_p0.950.log,
2026-05-18T03:48:52.510801,citeseer,betweenness,0.975,success,17.2,0.29,0.7437,0.0092,20,60,GCN,logs_v2/citeseer_betweenness_p0.975.log,
2026-05-18T03:49:09.745407,citeseer,betweenness,1.0,success,17.2,0.29,0.7448,0.0117,20,60,GCN,logs_v2/citeseer_betweenness_p1.000.log,
2026-05-18T03:49:15.566415,citeseer,pagerank,0.7,success,5.8,0.10,0.7582,0.0101,20,60,GCN,logs_v2/citeseer_pagerank_p0.700.log,
2026-05-18T03:49:21.787865,citeseer,pagerank,0.8,success,6.2,0.10,0.7642,0.0084,20,60,GCN,logs_v2/citeseer_pagerank_p0.800.log,
2026-05-18T03:49:27.259154,citeseer,pagerank,0.9,success,5.5,0.09,0.7642,0.0082,20,60,GCN,logs_v2/citeseer_pagerank_p0.900.log,
2026-05-18T03:49:32.629639,citeseer,pagerank,0.95,success,5.4,0.09,0.7659,0.0094,20,60,GCN,logs_v2/citeseer_pagerank_p0.950.log,
2026-05-18T03:49:38.050156,citeseer,pagerank,0.975,success,5.4,0.09,0.7628,0.0070,20,60,GCN,logs_v2/citeseer_pagerank_p0.975.log,
2026-05-18T03:49:43.520712,citeseer,pagerank,1.0,success,5.5,0.09,0.7623,0.0116,20,60,GCN,logs_v2/citeseer_pagerank_p1.000.log,
2026-05-18T03:49:50.042576,citeseer,eigenvector,0.7,success,6.5,0.11,0.7513,0.0079,20,60,GCN,logs_v2/citeseer_eigenvector_p0.700.log,
2026-05-18T03:49:56.163987,citeseer,eigenvector,0.8,success,6.1,0.10,0.7483,0.0117,20,60,GCN,logs_v2/citeseer_eigenvector_p0.800.log,
2026-05-18T03:50:02.035177,citeseer,eigenvector,0.9,success,5.9,0.10,0.7474,0.0087,20,60,GCN,logs_v2/citeseer_eigenvector_p0.900.log,
2026-05-18T03:50:08.256653,citeseer,eigenvector,0.95,success,6.2,0.10,0.7477,0.0120,20,60,GCN,logs_v2/citeseer_eigenvector_p0.950.log,
2026-05-18T03:50:14.077670,citeseer,eigenvector,0.975,success,5.8,0.10,0.7498,0.0087,20,60,GCN,logs_v2/citeseer_eigenvector_p0.975.log,
2026-05-18T03:50:20.249121,citeseer,eigenvector,1.0,success,6.2,0.10,0.7457,0.0060,20,60,GCN,logs_v2/citeseer_eigenvector_p1.000.log,
2026-05-18T03:50:59.158724,pubmed,degree,0.7,success,38.9,0.65,0.8550,0.0020,20,60,GCN,logs_v2/pubmed_degree_p0.700.log,
2026-05-18T03:51:37.617637,pubmed,degree,0.8,success,38.5,0.64,0.8577,0.0019,20,60,GCN,logs_v2/pubmed_degree_p0.800.log,
2026-05-18T03:52:14.825173,pubmed,degree,0.9,success,37.2,0.62,0.8615,0.0031,20,60,GCN,logs_v2/pubmed_degree_p0.900.log,
2026-05-18T03:52:51.832121,pubmed,degree,0.95,success,37.0,0.62,0.8623,0.0020,20,60,GCN,logs_v2/pubmed_degree_p0.950.log,
2026-05-18T03:53:29.039345,pubmed,degree,0.975,success,37.2,0.62,0.8631,0.0022,20,60,GCN,logs_v2/pubmed_degree_p0.975.log,
2026-05-18T03:54:05.997457,pubmed,degree,1.0,success,37.0,0.62,0.8629,0.0025,20,60,GCN,logs_v2/pubmed_degree_p1.000.log,
2026-05-18T03:54:44.707029,pubmed,degree_centrality,0.7,success,38.7,0.65,0.8551,0.0017,20,60,GCN,logs_v2/pubmed_degree_centrality_p0.700.log,
2026-05-18T03:55:23.065534,pubmed,degree_centrality,0.8,success,38.4,0.64,0.8582,0.0017,20,60,GCN,logs_v2/pubmed_degree_centrality_p0.800.log,
2026-05-18T03:56:00.723325,pubmed,degree_centrality,0.9,success,37.7,0.63,0.8618,0.0022,20,60,GCN,logs_v2/pubmed_degree_centrality_p0.900.log,
2026-05-18T03:56:37.729888,pubmed,degree_centrality,0.95,success,37.0,0.62,0.8624,0.0023,20,60,GCN,logs_v2/pubmed_degree_centrality_p0.950.log,
2026-05-18T03:57:15.488151,pubmed,degree_centrality,0.975,success,37.8,0.63,0.8623,0.0020,20,60,GCN,logs_v2/pubmed_degree_centrality_p0.975.log,
2026-05-18T03:57:52.645361,pubmed,degree_centrality,1.0,success,37.2,0.62,0.8623,0.0020,20,60,GCN,logs_v2/pubmed_degree_centrality_p1.000.log,
2026-05-18T04:01:47.880258,pubmed,closeness,0.7,success,235.2,3.92,0.8555,0.0021,20,60,GCN,logs_v2/pubmed_closeness_p0.700.log,
2026-05-18T04:05:42.066990,pubmed,closeness,0.8,success,234.2,3.90,0.8576,0.0015,20,60,GCN,logs_v2/pubmed_closeness_p0.800.log,
2026-05-18T04:09:36.053219,pubmed,closeness,0.9,success,234.0,3.90,0.8617,0.0019,20,60,GCN,logs_v2/pubmed_closeness_p0.900.log,
2026-05-18T04:13:29.939573,pubmed,closeness,0.95,success,233.9,3.90,0.8631,0.0019,20,60,GCN,logs_v2/pubmed_closeness_p0.950.log,
2026-05-18T04:17:25.345104,pubmed,closeness,0.975,success,235.4,3.92,0.8618,0.0017,20,60,GCN,logs_v2/pubmed_closeness_p0.975.log,
2026-05-18T04:21:19.482101,pubmed,closeness,1.0,success,234.1,3.90,0.8623,0.0015,20,60,GCN,logs_v2/pubmed_closeness_p1.000.log,
2026-05-18T04:40:39.895380,pubmed,betweenness,0.7,success,1160.4,19.34,0.8543,0.0018,20,60,GCN,logs_v2/pubmed_betweenness_p0.700.log,
2026-05-18T05:00:02.859275,pubmed,betweenness,0.8,success,1163.0,19.38,0.8602,0.0020,20,60,GCN,logs_v2/pubmed_betweenness_p0.800.log,
2026-05-18T05:19:21.117672,pubmed,betweenness,0.9,success,1158.3,19.30,0.8649,0.0014,20,60,GCN,logs_v2/pubmed_betweenness_p0.900.log,
2026-05-18T05:38:43.679578,pubmed,betweenness,0.95,success,1162.6,19.38,0.8645,0.0022,20,60,GCN,logs_v2/pubmed_betweenness_p0.950.log,
2026-05-18T05:58:29.922311,pubmed,betweenness,0.975,success,1186.2,19.77,0.8645,0.0017,20,60,GCN,logs_v2/pubmed_betweenness_p0.975.log,
2026-05-18T06:17:50.223718,pubmed,betweenness,1.0,success,1160.3,19.34,0.8642,0.0027,20,60,GCN,logs_v2/pubmed_betweenness_p1.000.log,
2026-05-18T06:18:26.430323,pubmed,pagerank,0.7,success,36.2,0.60,0.8544,0.0018,20,60,GCN,logs_v2/pubmed_pagerank_p0.700.log,
2026-05-18T06:19:02.737030,pubmed,pagerank,0.8,success,36.3,0.61,0.8578,0.0021,20,60,GCN,logs_v2/pubmed_pagerank_p0.800.log,
2026-05-18T06:19:37.691887,pubmed,pagerank,0.9,success,35.0,0.58,0.8636,0.0021,20,60,GCN,logs_v2/pubmed_pagerank_p0.900.log,
2026-05-18T06:20:12.196528,pubmed,pagerank,0.95,success,34.5,0.58,0.8640,0.0020,20,60,GCN,logs_v2/pubmed_pagerank_p0.950.log,
2026-05-18T06:20:46.751175,pubmed,pagerank,0.975,success,34.6,0.58,0.8640,0.0015,20,60,GCN,logs_v2/pubmed_pagerank_p0.975.log,
2026-05-18T06:21:21.055473,pubmed,pagerank,1.0,success,34.3,0.57,0.8640,0.0020,20,60,GCN,logs_v2/pubmed_pagerank_p1.000.log,
2026-05-18T06:23:06.993205,pubmed,eigenvector,0.7,success,105.9,1.77,0.8547,0.0016,20,60,GCN,logs_v2/pubmed_eigenvector_p0.700.log,
2026-05-18T06:24:52.629488,pubmed,eigenvector,0.8,success,105.6,1.76,0.8573,0.0022,20,60,GCN,logs_v2/pubmed_eigenvector_p0.800.log,
2026-05-18T06:26:37.165543,pubmed,eigenvector,0.9,success,104.5,1.74,0.8580,0.0018,20,60,GCN,logs_v2/pubmed_eigenvector_p0.900.log,
2026-05-18T06:28:21.601203,pubmed,eigenvector,0.95,success,104.4,1.74,0.8576,0.0017,20,60,GCN,logs_v2/pubmed_eigenvector_p0.950.log,
2026-05-18T06:30:06.086566,pubmed,eigenvector,0.975,success,104.5,1.74,0.8573,0.0025,20,60,GCN,logs_v2/pubmed_eigenvector_p0.975.log,
2026-05-18T06:31:50.672147,pubmed,eigenvector,1.0,success,104.6,1.74,0.8581,0.0026,20,60,GCN,logs_v2/pubmed_eigenvector_p1.000.log,
2026-05-18T06:32:22.473476,cs,degree,0.7,success,31.8,0.53,0.9290,0.0017,20,60,GCN,logs_v2/cs_degree_p0.700.log,
2026-05-18T06:32:55.125981,cs,degree,0.8,success,32.7,0.54,0.9315,0.0013,20,60,GCN,logs_v2/cs_degree_p0.800.log,
2026-05-18T06:33:24.824978,cs,degree,0.9,success,29.7,0.49,0.9318,0.0014,20,60,GCN,logs_v2/cs_degree_p0.900.log,
2026-05-18T06:33:54.878260,cs,degree,0.95,success,30.1,0.50,0.9317,0.0012,20,60,GCN,logs_v2/cs_degree_p0.950.log,
2026-05-18T06:34:24.928490,cs,degree,0.975,success,30.0,0.50,0.9322,0.0014,20,60,GCN,logs_v2/cs_degree_p0.975.log,
2026-05-18T06:34:54.778465,cs,degree,1.0,success,29.8,0.50,0.9323,0.0013,20,60,GCN,logs_v2/cs_degree_p1.000.log,
2026-05-18T06:35:27.785804,cs,degree_centrality,0.7,success,33.0,0.55,0.9295,0.0019,20,60,GCN,logs_v2/cs_degree_centrality_p0.700.log,
